topic,user,entity,assistant,function,arguments,Context
person,does adrian go with you on the baot?,adrian,null,lookup_ref,"{""name"": ""adrian"", ""context"": ""does adrian go with you on the baot?""}",does adrian go with you on the baot?
person,i mean adrian.,adrian,null,lookup_ref,"{""name"": ""adrian"", ""context"": ""i mean adrian.""}",i mean adrian.
person,When was the last time you saw Age?,Age,null,lookup_ref,"{""name"": ""Age"", ""context"": ""When was the last time you saw Age?""}",When was the last time you saw Age?
person,WTF is up with Age?,Age,null,lookup_ref,"{""name"": ""Age"", ""context"": ""WTF is up with Age?""}",WTF is up with Age?
person,does age go with you on the baot?,age,null,lookup_ref,"{""name"": ""age"", ""context"": ""does age go with you on the baot?""}",does age go with you on the baot?
person,how long have i known age?,age,null,lookup_ref,"{""name"": ""age"", ""context"": ""how long have i known age?""}",how long have i known age?
person,wtf is up with age?,age,null,lookup_ref,"{""name"": ""age"", ""context"": ""wtf is up with age?""}",wtf is up with age?
person,who is age?,age,null,lookup_ref,"{""name"": ""age"", ""context"": ""who is age?""}",who is age?
class,I was looking for some examples yesterday. what is wes modes art 101 github,art 101,null,lookup_ref,"{""name"": ""art 101"", ""context"": ""what is wes modes art 101 github""}",what is wes modes art 101 github
class,Do you teach art 101?,art 101,null,lookup_ref,"{""name"": ""art 101"", ""context"": ""Do you teach art 101?""}",Do you teach art 101?
class,I was looking at your classes. Can you tell me about art101,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""Can you tell me about art101""}",Can you tell me about art101
class,Whats art101 like?,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""Whats art101 like?""}",Whats art101 like?
class,ccan you tell me about art101,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""ccan you tell me about art101""}",ccan you tell me about art101
class,i was thinking of taking art101 next quarter,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""i was thinking of taking art101 next quarter""}",i was thinking of taking art101 next quarter
class,what's art101,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""what's art101""}",what's art101
class,whats art101 like?,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""whats art101 like?""}",whats art101 like?
class,i was interested in art101. can you tell me about it?,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""i was interested in art101.""}",i was interested in art101.
class,so tell me about art101 programming for the arts?,art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""so tell me about art101 programming for the arts?""}",so tell me about art101 programming for the arts?
person,"okay, tomorrow is my 8am class art101",art101,null,lookup_ref,"{""name"": ""art101"", ""context"": ""okay, tomorrow is my 8am class art101""}","okay, tomorrow is my 8am class art101"
person,Did you see Benzy and Jeremiah?,Benzy,null,lookup_ref,"{""name"": ""Benzy"", ""context"": ""Did you see Benzy and Jeremiah?""}",Did you see Benzy and Jeremiah?
person,Was Benzy on the boat with you?,Benzy,null,lookup_ref,"{""name"": ""Benzy"", ""context"": ""Was Benzy on the boat with you?""}",Was Benzy on the boat with you?
person,Who is Benzy?,Benzy,null,lookup_ref,"{""name"": ""Benzy"", ""context"": ""Who is Benzy?""}",Who is Benzy?
person,benzy is a person. hazel is the dog,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""benzy is a person.""}",benzy is a person.
person,benzy is your shipmate?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""benzy is your shipmate?""}",benzy is your shipmate?
person,do benzy and jeremiah know each other? ,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""do benzy and jeremiah know each other.""}",do benzy and jeremiah know each other.
person,does benzy go on the river?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""does benzy go on the river?""}",does benzy go on the river?
person,does benzy for with you on the boat?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""does benzy for with you on the boat?""}",does benzy for with you on the boat?
person,does benzy join you on the boat?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""does benzy join you on the boat?""}",does benzy join you on the boat?
person,had benzy worked at costco?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""had benzy worked at costco?""}",had benzy worked at costco?
person,howw's benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""howw's benzy?""}",howw's benzy?
person,try again. who's benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who's benzy?""}",who's benzy?
person,"wait, i mean it. benzy is wes' human partner. not a dog.",benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""benzy is wes' human partner.""}",benzy is wes' human partner.
person,"we're going to try a function, ready? who is benzy?",benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who is benzy?""}",who is benzy?
person,who da fuq is benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who da fuq is benzy?""}",who da fuq is benzy?
person,who is benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who is benzy?""}",who is benzy?
person,who's benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who's benzy?""}",who's benzy?
person,wtf's up with benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""wtf's up with benzy?""}",wtf's up with benzy?
person,you said benzy was a person,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""you said benzy was a person""}",you said benzy was a person
person,do hazel and benzy and jeremiah hangout?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""do hazel and benzy and jeremiah hangout?""}",do hazel and benzy and jeremiah hangout?
person,hey how's benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""hey how's benzy?""}",hey how's benzy?
person,"hi, who is benzy?",benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""hi, who is benzy?""}","hi, who is benzy?"
person,how is benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""how is benzy?""}",how is benzy?
person,who is benzy,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who is benzy""}",who is benzy
person,who is benzy?,benzy,null,lookup_ref,"{""name"": ""benzy"", ""context"": ""who is benzy?""}",who is benzy?
person,do Benzy and Hazel get along?,benzy,,lookup_ref,"{""name"": ""benzy"", ""context"": ""do Benzy and Hazel get along?""}",do Benzy and Hazel get along?
topic,Did you ever see the Big Lebowski?,big lebowski,null,lookup_ref,"{""name"": ""big lebowski"", ""context"": ""Did you ever see the Big Lebowski?""}",Did you ever see the Big Lebowski?
project,Discuss the collective art installation at Black Rock City.,Black Rock City,null,lookup_ref,"{""name"": ""Black Rock City"", ""context"": ""Discuss the collective art installation at Black Rock City.""}",Discuss the collective art installation at Black Rock City.
topic,Can you describe your involvement with Black Rock City?,Black Rock City,null,lookup_ref,"{""name"": ""Black Rock City"", ""context"": ""Can you describe your involvement with Black Rock City?""}",Can you describe your involvement with Black Rock City?
topic,How did the Black Rock City inspire your art?,Black Rock City,null,lookup_ref,"{""name"": ""Black Rock City"", ""context"": ""How did the Black Rock City inspire your art?""}",How did the Black Rock City inspire your art?
project,Tell me something about the Black Rock Station at Burning Man.,Black Rock Station,null,lookup_ref,"{""name"": ""Black Rock Station"", ""context"": ""Tell me something about the Black Rock Station at Burning Man.""}",Tell me something about the Black Rock Station at Burning Man.
project,What kind of narratives were explored at Black Rock Station?,Black Rock Station,null,lookup_ref,"{""name"": ""Black Rock Station"", ""context"": ""What kind of narratives were explored at Black Rock Station?""}",What kind of narratives were explored at Black Rock Station?
project,What made the Black Rock Station installation unique?,Black Rock Station,null,lookup_ref,"{""name"": ""Black Rock Station"", ""context"": ""What made the Black Rock Station installation unique?""}",What made the Black Rock Station installation unique?
project,Who were the main collaborators for Black Rock Station?,Black Rock Station,null,lookup_ref,"{""name"": ""Black Rock Station"", ""context"": ""Who were the main collaborators for Black Rock Station?""}",Who were the main collaborators for Black Rock Station?
topic,What kind of books do you like?,books,null,lookup_ref,"{""name"": ""books"", ""context"": ""What kind of books do you like?""}",What kind of books do you like?
topic,what books do you like?,books,null,lookup_ref,"{""name"": ""books"", ""context"": ""what books do you like?""}",what books do you like?
person,Did you work with Brent Townshend?,Brent Townshend,null,lookup_ref,"{""name"": ""Brent Townshend"", ""context"": ""Did you work with Brent Townshend?""}",Did you work with Brent Townshend?
topic,Any interesting anecdotes from Burning Man?,Burning Man,null,lookup_ref,"{""name"": ""Burning Man"", ""context"": ""Any interesting anecdotes from Burning Man?""}",Any interesting anecdotes from Burning Man?
topic,Do you go to burning man?,burning man,null,lookup_ref,"{""name"": ""burning man"", ""context"": ""Do you go to burning man?""}",Do you go to burning man?
topic,What years did you go to Burning Man,Burning Man,null,lookup_ref,"{""name"": ""Burning Man"", ""context"": ""What years did you go to Burning Man""}",What years did you go to Burning Man
topic,What years did you go to Burning Man?,Burning Man,null,lookup_ref,"{""name"": ""Burning Man"", ""context"": ""What years did you go to Burning Man?""}",What years did you go to Burning Man?
project,no out camp costco at ttitd,camp costco,null,lookup_ref,"{""name"": ""camp costco"", ""context"": ""no out camp costco at ttitd""}",no out camp costco at ttitd
class,i was thinking of taking cmpm 169 in winter,cmpm 169,null,lookup_ref,"{""name"": ""cmpm 169"", ""context"": ""i was thinking of taking cmpm 169 in winter""}",i was thinking of taking cmpm 169 in winter
class,I was thinking of taking cmpm 169 in winter,cmpm 169,null,lookup_ref,"{""name"": ""cmpm 169"", ""context"": ""I was thinking of taking cmpm 169 in winter""}",I was thinking of taking cmpm 169 in winter
class,Do you have group projects in CMPM169?,CMPM169,null,lookup_ref,"{""name"": ""CMPM169"", ""context"": ""Do you have group projects in CMPM169?""}",Do you have group projects in CMPM169?
class,What is CMPM169,CMPM169,null,lookup_ref,"{""name"": ""CMPM169"", ""context"": ""What is CMPM169""}",What is CMPM169
class,what is cmpm169,cmpm169,null,lookup_ref,"{""name"": ""cmpm169"", ""context"": ""what is cmpm169""}",what is cmpm169
class,no i want to hear about both art101 and cmpm169,cmpm169,null,lookup_ref,"{""name"": ""cmpm169"", ""context"": ""no i want to hear about both art101 and cmpm169""}",no i want to hear about both art101 and cmpm169
class,this is wrong. try again. art101 programming for the arts and cmpm169 creative coding. how are they similar and different?,cmpm169,null,lookup_ref,"{""name"": ""cmpm169"", ""context"": ""art101 programming for the arts and cmpm169 creative coding.""}",art101 programming for the arts and cmpm169 creative coding.
project,Tell me about Co-related Space,Co-related Space,null,lookup_ref,"{""name"": ""Co-related Space"", ""context"": ""Tell me about Co-related Space""}",Tell me about Co-related Space
project,Who did you work with on Co-related Space? Or did you do that project solo?,Co-related Space,null,lookup_ref,"{""name"": ""Co-related Space"", ""context"": ""Who did you work with on Co-related Space.""}",Who did you work with on Co-related Space.
project,hey who did you work with on co-related space?,co-related space,null,lookup_ref,"{""name"": ""co-related space"", ""context"": ""hey who did you work with on co-related space?""}",hey who did you work with on co-related space?
project,what was it like working on co-related space?,co-related space,null,lookup_ref,"{""name"": ""co-related space"", ""context"": ""what was it like working on co-related space?""}",what was it like working on co-related space?
project,what years did you do co-related space,co-related space,null,lookup_ref,"{""name"": ""co-related space"", ""context"": ""what years did you do co-related space""}",what years did you do co-related space
project,what's co-related space?,co-related space,null,lookup_ref,"{""name"": ""co-related space"", ""context"": ""what's co-related space?""}",what's co-related space?
project,what's co-related space?,co-related space,null,lookup_ref,"{""name"": ""co-related space"", ""context"": ""what's co-related space?""}",what's co-related space?
topic,i heard you make comics. Is that true?,comics,null,lookup_ref,"{""name"": ""comics"", ""context"": ""i heard you make comics.""}",i heard you make comics.
topic,when did you start making comics?,comics,null,lookup_ref,"{""name"": ""comics"", ""context"": ""when did you start making comics?""}",when did you start making comics?
project,"hey, who did you work on corelated space with?",corelated space,null,lookup_ref,"{""name"": ""corelated space"", ""context"": ""hey, who did you work on corelated space with?""}","hey, who did you work on corelated space with?"
project,tell me about corelated space,corelated space,null,lookup_ref,"{""name"": ""corelated space"", ""context"": ""tell me about corelated space""}",tell me about corelated space
project,"what year did you do corelated space, and who with?",corelated space,null,lookup_ref,"{""name"": ""corelated space"", ""context"": ""what year did you do corelated space, and who with?""}","what year did you do corelated space, and who with?"
project,who did you collaborate with on corelated space?,corelated space,null,lookup_ref,"{""name"": ""corelated space"", ""context"": ""who did you collaborate with on corelated space?""}",who did you collaborate with on corelated space?
project,i mean costco at burning man,costco,null,lookup_ref,"{""name"": ""costco"", ""context"": ""i mean costco at burning man""}",i mean costco at burning man
project,tell me about costco. Not the retail store of course.,costco,null,lookup_ref,"{""name"": ""costco"", ""context"": ""tell me about costco.""}",tell me about costco.
project,tell me about costco soulmates?,costco,null,lookup_ref,"{""name"": ""costco"", ""context"": ""tell me about costco soulmates?""}",tell me about costco soulmates?
project,tell me about your involvement at costco,costco,null,lookup_ref,"{""name"": ""costco"", ""context"": ""tell me about your involvement at costco""}",tell me about your involvement at costco
project,"yeah, i know. that plays on repeat at costco",costco,null,lookup_ref,"{""name"": ""costco"", ""context"": ""that plays on repeat at costco""}",that plays on repeat at costco
class,I was looking into your programming class. is taht similar to your creative coding class?,creative coding,null,lookup_ref,"{""name"": ""creative coding"", ""context"": ""is taht similar to your creative coding class?""}",is taht similar to your creative coding class?
class,tell me about creative coding?,creative coding,null,lookup_ref,"{""name"": ""creative coding"", ""context"": ""tell me about creative coding?""}",tell me about creative coding?
person,How's your relationship with your dad,dad,null,lookup_ref,"{""name"": ""dad"", ""context"": ""How's your relationship with your dad""}",How's your relationship with your dad
person,tell me about dotty?,dotty,null,lookup_ref,"{""name"": ""dotty"", ""context"": ""tell me about dotty?""}",tell me about dotty?
person,"wait, sorry. i meant to ask who is dotty?",dotty,null,lookup_ref,"{""name"": ""dotty"", ""context"": ""i meant to ask who is dotty?""}",i meant to ask who is dotty?
person,what do you drink on board dotty?,dotty,null,lookup_ref,"{""name"": ""dotty"", ""context"": ""what do you drink on board dotty?""}",what do you drink on board dotty?
person,who is dotty?,dotty,null,lookup_ref,"{""name"": ""dotty"", ""context"": ""who is dotty?""}",who is dotty?
project,I meant to ask who is dotty?,Dotty,null,lookup_ref,"{""name"": ""Dotty"", ""context"": ""I meant to ask who is dotty?""}",I meant to ask who is dotty?
project,tell me about dotty.,dotty,null,lookup_ref,"{""name"": ""dotty"", ""context"": ""tell me about dotty.""}",tell me about dotty.
